date,stock_type,price_type,price
2020-09-01,AAPL,open,132.759995
2020-09-02,AAPL,open,137.589996
2020-09-03,AAPL,open,126.910004
2020-09-04,AAPL,open,120.07
2020-09-08,AAPL,open,113.949997
2020-09-09,AAPL,open,117.260002
2020-09-10,AAPL,open,120.360001
2020-09-11,AAPL,open,114.57
2020-09-14,AAPL,open,114.720001
2020-09-15,AAPL,open,118.330002
2020-09-16,AAPL,open,115.230003
2020-09-17,AAPL,open,109.720001
2020-09-18,AAPL,open,110.400002
2020-09-21,AAPL,open,104.540001
2020-09-22,AAPL,open,112.68
2020-09-23,AAPL,open,111.620003
2020-09-24,AAPL,open,105.169998
2020-09-25,AAPL,open,108.43
2020-09-28,AAPL,open,115.010002
2020-09-29,AAPL,open,114.550003
2020-09-30,AAPL,open,113.790001
2020-10-01,AAPL,open,117.639999
2020-10-02,AAPL,open,112.889999
2020-10-05,AAPL,open,113.910004
2020-10-06,AAPL,open,115.699997
2020-10-07,AAPL,open,114.620003
2020-10-08,AAPL,open,116.25
2020-10-09,AAPL,open,115.279999
2020-10-12,AAPL,open,120.059998
2020-10-13,AAPL,open,125.269997
2020-10-14,AAPL,open,121.0
2020-10-15,AAPL,open,118.720001
2020-10-16,AAPL,open,121.279999
2020-10-19,AAPL,open,119.959999
2020-10-20,AAPL,open,116.199997
2020-10-21,AAPL,open,116.669998
2020-10-22,AAPL,open,117.449997
2020-10-23,AAPL,open,116.389999
2020-10-26,AAPL,open,114.010002
2020-10-27,AAPL,open,115.489998
2020-10-28,AAPL,open,115.050003
2020-10-29,AAPL,open,112.370003
2020-10-30,AAPL,open,111.059998
2020-11-02,AAPL,open,109.110001
2020-11-03,AAPL,open,109.660004
2020-11-04,AAPL,open,114.139999
2020-11-05,AAPL,open,117.949997
2020-11-06,AAPL,open,118.32
2020-11-09,AAPL,open,120.5
2020-11-10,AAPL,open,115.550003
2020-11-11,AAPL,open,117.190002
2020-11-12,AAPL,open,119.620003
2020-11-13,AAPL,open,119.440002
2020-11-16,AAPL,open,118.919998
2020-11-17,AAPL,open,119.550003
2020-11-18,AAPL,open,118.610001
2020-11-19,AAPL,open,117.589996
2020-11-20,AAPL,open,118.639999
2020-11-23,AAPL,open,117.18
2020-11-24,AAPL,open,113.910004
2020-11-25,AAPL,open,115.550003
2020-11-27,AAPL,open,116.57
2020-11-30,AAPL,open,116.970001
2020-12-01,AAPL,open,121.010002
2020-12-02,AAPL,open,122.019997
2020-12-03,AAPL,open,123.519997
2020-12-04,AAPL,open,122.599998
2020-12-07,AAPL,open,122.309998
2020-12-08,AAPL,open,124.370003
2020-12-09,AAPL,open,124.529999
2020-12-10,AAPL,open,120.5
2020-12-11,AAPL,open,122.43
2020-12-14,AAPL,open,122.599998
2020-12-15,AAPL,open,124.339996
2020-12-16,AAPL,open,127.410004
2020-12-17,AAPL,open,128.899994
2020-12-18,AAPL,open,128.960007
2020-12-21,AAPL,open,125.019997
2020-12-22,AAPL,open,131.610001
2020-12-23,AAPL,open,132.160004
2020-12-24,AAPL,open,131.320007
2020-12-28,AAPL,open,133.990005
2020-12-29,AAPL,open,138.050003
2020-12-30,AAPL,open,135.580002
2020-12-31,AAPL,open,134.080002
2021-01-04,AAPL,open,133.520004
2021-01-05,AAPL,open,128.889999
2021-01-06,AAPL,open,127.720001
2021-01-07,AAPL,open,128.360001
2021-01-08,AAPL,open,132.429993
2021-01-11,AAPL,open,129.190002
2021-01-12,AAPL,open,128.5
2021-01-13,AAPL,open,128.759995
2021-01-14,AAPL,open,130.800003
2021-01-15,AAPL,open,128.779999
2021-01-19,AAPL,open,127.779999
2021-01-20,AAPL,open,128.660004
2021-01-21,AAPL,open,133.800003
2021-01-22,AAPL,open,136.279999
2021-01-25,AAPL,open,143.070007
2020-09-01,AMZN,open,3489.580078
2020-09-02,AMZN,open,3547.0
2020-09-03,AMZN,open,3485.0
2020-09-04,AMZN,open,3318.0
2020-09-08,AMZN,open,3144.0
2020-09-09,AMZN,open,3202.98999
2020-09-10,AMZN,open,3307.219971
2020-09-11,AMZN,open,3208.689941
2020-09-14,AMZN,open,3172.939941
2020-09-15,AMZN,open,3136.159912
2020-09-16,AMZN,open,3179.98999
2020-09-17,AMZN,open,3009.25
2020-09-18,AMZN,open,3031.73999
2020-09-21,AMZN,open,2906.5
2020-09-22,AMZN,open,3033.840088
2020-09-23,AMZN,open,3120.429932
2020-09-24,AMZN,open,2977.790039
2020-09-25,AMZN,open,3054.860107
2020-09-28,AMZN,open,3148.850098
2020-09-29,AMZN,open,3175.389893
2020-09-30,AMZN,open,3141.139893
2020-10-01,AMZN,open,3208.0
2020-10-02,AMZN,open,3153.629883
2020-10-05,AMZN,open,3145.840088
2020-10-06,AMZN,open,3165.0
2020-10-07,AMZN,open,3135.0
2020-10-08,AMZN,open,3224.98999
2020-10-09,AMZN,open,3210.0
2020-10-12,AMZN,open,3349.939941
2020-10-13,AMZN,open,3467.98999
2020-10-14,AMZN,open,3447.0
2020-10-15,AMZN,open,3292.01001
2020-10-16,AMZN,open,3363.22998
2020-10-19,AMZN,open,3299.610107
2020-10-20,AMZN,open,3222.280029
2020-10-21,AMZN,open,3212.5
2020-10-22,AMZN,open,3189.870117
2020-10-23,AMZN,open,3191.0
2020-10-26,AMZN,open,3198.73999
2020-10-27,AMZN,open,3224.939941
2020-10-28,AMZN,open,3249.300049
2020-10-29,AMZN,open,3201.27002
2020-10-30,AMZN,open,3157.75
2020-11-02,AMZN,open,3061.73999
2020-11-03,AMZN,open,3018.530029
2020-11-04,AMZN,open,3159.98999
2020-11-05,AMZN,open,3319.969971
2020-11-06,AMZN,open,3304.639893
2020-11-09,AMZN,open,3231.030029
2020-11-10,AMZN,open,3095.02002
2020-11-11,AMZN,open,3061.780029
2020-11-12,AMZN,open,3159.949951
2020-11-13,AMZN,open,3122.0
2020-11-16,AMZN,open,3093.199951
2020-11-17,AMZN,open,3183.540039
2020-11-18,AMZN,open,3134.0
2020-11-19,AMZN,open,3105.310059
2020-11-20,AMZN,open,3117.02002
2020-11-23,AMZN,open,3116.699951
2020-11-24,AMZN,open,3100.5
2020-11-25,AMZN,open,3141.870117
2020-11-27,AMZN,open,3211.26001
2020-11-30,AMZN,open,3208.47998
2020-12-01,AMZN,open,3188.5
2020-12-02,AMZN,open,3221.649902
2020-12-03,AMZN,open,3205.459961
2020-12-04,AMZN,open,3198.209961
2020-12-07,AMZN,open,3156.47998
2020-12-08,AMZN,open,3158.899902
2020-12-09,AMZN,open,3167.889893
2020-12-10,AMZN,open,3088.98999
2020-12-11,AMZN,open,3096.659912
2020-12-14,AMZN,open,3143.0
2020-12-15,AMZN,open,3181.01001
2020-12-16,AMZN,open,3176.01001
2020-12-17,AMZN,open,3250.0
2020-12-18,AMZN,open,3243.98999
2020-12-21,AMZN,open,3200.01001
2020-12-22,AMZN,open,3202.840088
2020-12-23,AMZN,open,3205.0
2020-12-24,AMZN,open,3193.899902
2020-12-28,AMZN,open,3194.0
2020-12-29,AMZN,open,3309.939941
2020-12-30,AMZN,open,3341.0
2020-12-31,AMZN,open,3275.0
2021-01-04,AMZN,open,3270.0
2021-01-05,AMZN,open,3166.01001
2021-01-06,AMZN,open,3146.47998
2021-01-07,AMZN,open,3157.0
2021-01-08,AMZN,open,3180.0
2021-01-11,AMZN,open,3148.01001
2021-01-12,AMZN,open,3120.0
2021-01-13,AMZN,open,3128.439941
2021-01-14,AMZN,open,3167.52002
2021-01-15,AMZN,open,3123.02002
2021-01-19,AMZN,open,3107.0
2021-01-20,AMZN,open,3181.98999
2021-01-21,AMZN,open,3293.0
2021-01-22,AMZN,open,3304.310059
2021-01-25,AMZN,open,3328.5
2020-09-01,GME,open,7.3
2020-09-02,GME,open,7.8
2020-09-03,GME,open,7.88
2020-09-04,GME,open,7.78
2020-09-08,GME,open,7.55
2020-09-09,GME,open,7.96
2020-09-10,GME,open,6.65
2020-09-11,GME,open,6.26
2020-09-14,GME,open,6.8
2020-09-15,GME,open,6.86
2020-09-16,GME,open,7.03
2020-09-17,GME,open,8.57
2020-09-18,GME,open,9.2
2020-09-21,GME,open,9.35
2020-09-22,GME,open,10.45
2020-09-23,GME,open,10.6
2020-09-24,GME,open,9.71
2020-09-25,GME,open,9.19
2020-09-28,GME,open,10.16
2020-09-29,GME,open,10.0
2020-09-30,GME,open,10.25
2020-10-01,GME,open,10.09
2020-10-02,GME,open,9.38
2020-10-05,GME,open,9.44
2020-10-06,GME,open,9.56
2020-10-07,GME,open,9.23
2020-10-08,GME,open,9.54
2020-10-09,GME,open,12.83
2020-10-12,GME,open,11.66
2020-10-13,GME,open,11.73
2020-10-14,GME,open,12.67
2020-10-15,GME,open,11.99
2020-10-16,GME,open,13.77
2020-10-19,GME,open,13.44
2020-10-20,GME,open,14.03
2020-10-21,GME,open,13.9
2020-10-22,GME,open,14.2
2020-10-23,GME,open,15.05
2020-10-26,GME,open,14.93
2020-10-27,GME,open,13.71
2020-10-28,GME,open,12.27
2020-10-29,GME,open,11.88
2020-10-30,GME,open,11.64
2020-11-02,GME,open,10.82
2020-11-03,GME,open,10.75
2020-11-04,GME,open,11.76
2020-11-05,GME,open,11.27
2020-11-06,GME,open,11.52
2020-11-09,GME,open,12.76
2020-11-10,GME,open,11.5
2020-11-11,GME,open,11.5
2020-11-12,GME,open,11.74
2020-11-13,GME,open,11.36
2020-11-16,GME,open,11.16
2020-11-17,GME,open,11.65
2020-11-18,GME,open,11.8
2020-11-19,GME,open,11.6
2020-11-20,GME,open,12.55
2020-11-23,GME,open,12.9
2020-11-24,GME,open,14.23
2020-11-25,GME,open,13.6
2020-11-27,GME,open,15.29
2020-11-30,GME,open,18.17
2020-12-01,GME,open,17.110001
2020-12-02,GME,open,15.7
2020-12-03,GME,open,16.48
2020-12-04,GME,open,16.299999
2020-12-07,GME,open,17.0
2020-12-08,GME,open,16.370001
2020-12-09,GME,open,13.92
2020-12-10,GME,open,13.12
2020-12-11,GME,open,13.91
2020-12-14,GME,open,13.34
2020-12-15,GME,open,12.78
2020-12-16,GME,open,13.96
2020-12-17,GME,open,13.96
2020-12-18,GME,open,15.78
2020-12-21,GME,open,15.81
2020-12-22,GME,open,16.219999
2020-12-23,GME,open,20.17
2020-12-24,GME,open,21.01
2020-12-28,GME,open,21.309999
2020-12-29,GME,open,20.82
2020-12-30,GME,open,19.379999
2020-12-31,GME,open,19.25
2021-01-04,GME,open,19.0
2021-01-05,GME,open,17.35
2021-01-06,GME,open,17.34
2021-01-07,GME,open,18.469999
2021-01-08,GME,open,18.18
2021-01-11,GME,open,19.41
2021-01-12,GME,open,19.959999
2021-01-13,GME,open,20.42
2021-01-14,GME,open,38.09
2021-01-15,GME,open,38.490002
2021-01-19,GME,open,41.549999
2021-01-20,GME,open,37.369999
2021-01-21,GME,open,39.23
2021-01-22,GME,open,42.59
2021-01-25,GME,open,96.730003
2020-09-01,KO,open,49.310001
2020-09-02,KO,open,49.360001
2020-09-03,KO,open,51.400002
2020-09-04,KO,open,50.939999
2020-09-08,KO,open,50.93
2020-09-09,KO,open,49.599998
2020-09-10,KO,open,50.349998
2020-09-11,KO,open,50.400002
2020-09-14,KO,open,50.970001
2020-09-15,KO,open,51.0
2020-09-16,KO,open,50.950001
2020-09-17,KO,open,50.220001
2020-09-18,KO,open,50.75
2020-09-21,KO,open,49.75
2020-09-22,KO,open,49.110001
2020-09-23,KO,open,49.73
2020-09-24,KO,open,48.209999
2020-09-25,KO,open,48.200001
2020-09-28,KO,open,49.310001
2020-09-29,KO,open,49.389999
2020-09-30,KO,open,49.27
2020-10-01,KO,open,49.439999
2020-10-02,KO,open,48.759998
2020-10-05,KO,open,49.43
2020-10-06,KO,open,49.549999
2020-10-07,KO,open,49.02
2020-10-08,KO,open,49.709999
2020-10-09,KO,open,50.669998
2020-10-12,KO,open,50.84
2020-10-13,KO,open,50.990002
2020-10-14,KO,open,50.049999
2020-10-15,KO,open,49.400002
2020-10-16,KO,open,49.990002
2020-10-19,KO,open,50.029999
2020-10-20,KO,open,49.889999
2020-10-21,KO,open,49.959999
2020-10-22,KO,open,51.169998
2020-10-23,KO,open,51.0
2020-10-26,KO,open,50.34
2020-10-27,KO,open,49.810001
2020-10-28,KO,open,49.0
2020-10-29,KO,open,47.73
2020-10-30,KO,open,47.810001
2020-11-02,KO,open,48.75
2020-11-03,KO,open,49.220001
2020-11-04,KO,open,49.43
2020-11-05,KO,open,49.759998
2020-11-06,KO,open,49.650002
2020-11-09,KO,open,52.5
2020-11-10,KO,open,52.57
2020-11-11,KO,open,53.93
2020-11-12,KO,open,53.049999
2020-11-13,KO,open,53.25
2020-11-16,KO,open,54.5
2020-11-17,KO,open,53.66
2020-11-18,KO,open,53.75
2020-11-19,KO,open,52.490002
2020-11-20,KO,open,53.189999
2020-11-23,KO,open,52.950001
2020-11-24,KO,open,53.139999
2020-11-25,KO,open,53.07
2020-11-27,KO,open,53.110001
2020-11-30,KO,open,52.09
2020-12-01,KO,open,52.139999
2020-12-02,KO,open,51.900002
2020-12-03,KO,open,51.900002
2020-12-04,KO,open,52.779999
2020-12-07,KO,open,53.759998
2020-12-08,KO,open,52.939999
2020-12-09,KO,open,53.369999
2020-12-10,KO,open,53.400002
2020-12-11,KO,open,52.799999
2020-12-14,KO,open,53.650002
2020-12-15,KO,open,53.790001
2020-12-16,KO,open,53.599998
2020-12-17,KO,open,53.299999
2020-12-18,KO,open,53.080002
2020-12-21,KO,open,52.68
2020-12-22,KO,open,52.810001
2020-12-23,KO,open,52.950001
2020-12-24,KO,open,53.02
2020-12-28,KO,open,53.849998
2020-12-29,KO,open,54.450001
2020-12-30,KO,open,54.049999
2020-12-31,KO,open,54.450001
2021-01-04,KO,open,54.27
2021-01-05,KO,open,52.330002
2021-01-06,KO,open,51.970001
2021-01-07,KO,open,50.09
2021-01-08,KO,open,50.029999
2021-01-11,KO,open,50.619999
2021-01-12,KO,open,50.040001
2021-01-13,KO,open,49.98
2021-01-14,KO,open,50.16
2021-01-15,KO,open,49.16
2021-01-19,KO,open,48.740002
2021-01-20,KO,open,48.540001
2021-01-21,KO,open,48.779999
2021-01-22,KO,open,48.810001
2021-01-25,KO,open,48.419998
2020-09-01,TSLA,open,502.140015
2020-09-02,TSLA,open,478.98999
2020-09-03,TSLA,open,407.230011
2020-09-04,TSLA,open,402.809998
2020-09-08,TSLA,open,356.0
2020-09-09,TSLA,open,356.600006
2020-09-10,TSLA,open,386.209991
2020-09-11,TSLA,open,381.940002
2020-09-14,TSLA,open,380.950012
2020-09-15,TSLA,open,436.559998
2020-09-16,TSLA,open,439.869995
2020-09-17,TSLA,open,415.600006
2020-09-18,TSLA,open,447.940002
2020-09-21,TSLA,open,453.130005
2020-09-22,TSLA,open,429.600006
2020-09-23,TSLA,open,405.160004
2020-09-24,TSLA,open,363.799988
2020-09-25,TSLA,open,393.470001
2020-09-28,TSLA,open,424.619995
2020-09-29,TSLA,open,416.0
2020-09-30,TSLA,open,421.320007
2020-10-01,TSLA,open,440.76001
2020-10-02,TSLA,open,421.390015
2020-10-05,TSLA,open,423.350006
2020-10-06,TSLA,open,423.790009
2020-10-07,TSLA,open,419.869995
2020-10-08,TSLA,open,438.440002
2020-10-09,TSLA,open,430.130005
2020-10-12,TSLA,open,442.0
2020-10-13,TSLA,open,443.350006
2020-10-14,TSLA,open,449.779999
2020-10-15,TSLA,open,450.309998
2020-10-16,TSLA,open,454.440002
2020-10-19,TSLA,open,446.23999
2020-10-20,TSLA,open,431.75
2020-10-21,TSLA,open,422.700012
2020-10-22,TSLA,open,441.920013
2020-10-23,TSLA,open,421.839996
2020-10-26,TSLA,open,411.630005
2020-10-27,TSLA,open,423.76001
2020-10-28,TSLA,open,416.480011
2020-10-29,TSLA,open,409.959991
2020-10-30,TSLA,open,406.899994
2020-11-02,TSLA,open,394.0
2020-11-03,TSLA,open,409.730011
2020-11-04,TSLA,open,430.619995
2020-11-05,TSLA,open,428.299988
2020-11-06,TSLA,open,436.100006
2020-11-09,TSLA,open,439.5
2020-11-10,TSLA,open,420.089996
2020-11-11,TSLA,open,416.450012
2020-11-12,TSLA,open,415.049988
2020-11-13,TSLA,open,410.850006
2020-11-16,TSLA,open,408.929993
2020-11-17,TSLA,open,460.170013
2020-11-18,TSLA,open,448.350006
2020-11-19,TSLA,open,492.0
2020-11-20,TSLA,open,497.98999
2020-11-23,TSLA,open,503.5
2020-11-24,TSLA,open,540.400024
2020-11-25,TSLA,open,550.059998
2020-11-27,TSLA,open,581.159973
2020-11-30,TSLA,open,602.210022
2020-12-01,TSLA,open,597.590027
2020-12-02,TSLA,open,556.440002
2020-12-03,TSLA,open,590.02002
2020-12-04,TSLA,open,591.01001
2020-12-07,TSLA,open,604.919983
2020-12-08,TSLA,open,625.51001
2020-12-09,TSLA,open,653.690002
2020-12-10,TSLA,open,574.369995
2020-12-11,TSLA,open,615.01001
2020-12-14,TSLA,open,619.0
2020-12-15,TSLA,open,643.280029
2020-12-16,TSLA,open,628.22998
2020-12-17,TSLA,open,628.190002
2020-12-18,TSLA,open,668.900024
2020-12-21,TSLA,open,666.23999
2020-12-22,TSLA,open,648.0
2020-12-23,TSLA,open,632.200012
2020-12-24,TSLA,open,642.98999
2020-12-28,TSLA,open,674.51001
2020-12-29,TSLA,open,661.0
2020-12-30,TSLA,open,672.0
2020-12-31,TSLA,open,699.98999
2021-01-04,TSLA,open,719.460022
2021-01-05,TSLA,open,723.659973
2021-01-06,TSLA,open,758.48999
2021-01-07,TSLA,open,777.630005
2021-01-08,TSLA,open,856.0
2021-01-11,TSLA,open,849.400024
2021-01-12,TSLA,open,831.0
2021-01-13,TSLA,open,852.76001
2021-01-14,TSLA,open,843.390015
2021-01-15,TSLA,open,852.0
2021-01-19,TSLA,open,837.799988
2021-01-20,TSLA,open,858.73999
2021-01-21,TSLA,open,855.0
2021-01-22,TSLA,open,834.309998
2021-01-25,TSLA,open,855.0
2020-09-01,VZ,open,59.119999
2020-09-02,VZ,open,59.150002
2020-09-03,VZ,open,60.830002
2020-09-04,VZ,open,60.48
2020-09-08,VZ,open,60.799999
2020-09-09,VZ,open,60.119999
2020-09-10,VZ,open,60.23
2020-09-11,VZ,open,59.580002
2020-09-14,VZ,open,60.02
2020-09-15,VZ,open,60.110001
2020-09-16,VZ,open,60.529999
2020-09-17,VZ,open,60.599998
2020-09-18,VZ,open,60.18
2020-09-21,VZ,open,60.0
2020-09-22,VZ,open,59.73
2020-09-23,VZ,open,59.830002
2020-09-24,VZ,open,59.0
2020-09-25,VZ,open,58.849998
2020-09-28,VZ,open,59.560001
2020-09-29,VZ,open,59.279999
2020-09-30,VZ,open,59.459999
2020-10-01,VZ,open,59.400002
2020-10-02,VZ,open,59.290001
2020-10-05,VZ,open,59.630001
2020-10-06,VZ,open,59.759998
2020-10-07,VZ,open,59.619999
2020-10-08,VZ,open,59.119999
2020-10-09,VZ,open,59.25
2020-10-12,VZ,open,59.330002
2020-10-13,VZ,open,59.700001
2020-10-14,VZ,open,59.459999
2020-10-15,VZ,open,58.110001
2020-10-16,VZ,open,58.080002
2020-10-19,VZ,open,58.150002
2020-10-20,VZ,open,57.540001
2020-10-21,VZ,open,57.110001
2020-10-22,VZ,open,56.93
2020-10-23,VZ,open,57.75
2020-10-26,VZ,open,57.52
2020-10-27,VZ,open,57.700001
2020-10-28,VZ,open,56.919998
2020-10-29,VZ,open,56.16
2020-10-30,VZ,open,56.599998
2020-11-02,VZ,open,57.669998
2020-11-03,VZ,open,57.810001
2020-11-04,VZ,open,57.189999
2020-11-05,VZ,open,58.009998
2020-11-06,VZ,open,58.080002
2020-11-09,VZ,open,60.040001
2020-11-10,VZ,open,60.279999
2020-11-11,VZ,open,61.290001
2020-11-12,VZ,open,60.91
2020-11-13,VZ,open,60.630001
2020-11-16,VZ,open,60.810001
2020-11-17,VZ,open,60.560001
2020-11-18,VZ,open,61.130001
2020-11-19,VZ,open,60.400002
2020-11-20,VZ,open,60.209999
2020-11-23,VZ,open,60.009998
2020-11-24,VZ,open,60.599998
2020-11-25,VZ,open,60.669998
2020-11-27,VZ,open,60.52
2020-11-30,VZ,open,60.32
2020-12-01,VZ,open,60.43
2020-12-02,VZ,open,61.400002
2020-12-03,VZ,open,61.110001
2020-12-04,VZ,open,61.549999
2020-12-07,VZ,open,61.52
2020-12-08,VZ,open,61.18
2020-12-09,VZ,open,61.450001
2020-12-10,VZ,open,61.259998
2020-12-11,VZ,open,60.080002
2020-12-14,VZ,open,60.610001
2020-12-15,VZ,open,60.07
2020-12-16,VZ,open,60.200001
2020-12-17,VZ,open,59.98
2020-12-18,VZ,open,60.0
2020-12-21,VZ,open,60.060001
2020-12-22,VZ,open,59.32
2020-12-23,VZ,open,59.200001
2020-12-24,VZ,open,59.0
2020-12-28,VZ,open,59.16
2020-12-29,VZ,open,59.029999
2020-12-30,VZ,open,58.830002
2020-12-31,VZ,open,58.060001
2021-01-04,VZ,open,58.959999
2021-01-05,VZ,open,58.860001
2021-01-06,VZ,open,58.810001
2021-01-07,VZ,open,58.27
2021-01-08,VZ,open,58.23
2021-01-11,VZ,open,57.75
2021-01-12,VZ,open,57.27
2021-01-13,VZ,open,57.220001
2021-01-14,VZ,open,56.889999
2021-01-15,VZ,open,56.779999
2021-01-19,VZ,open,57.439999
2021-01-20,VZ,open,57.009998
2021-01-21,VZ,open,57.189999
2021-01-22,VZ,open,57.169998
2021-01-25,VZ,open,57.470001
2020-09-01,AAPL,close,134.179993
