date,AAPL_close,AMZN_close,GME_close,KO_close,TSLA_close,VZ_close
2020-09-01,134.179993,3499.120117,7.65,49.119999,475.049988,59.16
2020-09-02,131.399994,3531.449951,7.71,51.189999,447.369995,60.529999
2020-09-03,120.879997,3368,7.82,50.48,407,60.610001
2020-09-04,120.959999,3294.620117,7.65,51.040001,418.320007,60.48
2020-09-08,112.82,3149.840088,7.7,49.810001,330.209991,59.959999
2020-09-09,117.32,3268.610107,7.35,50.189999,366.279999,60.040001
2020-09-10,113.489998,3175.110107,6.23,50,371.339996,59.529999
2020-09-11,112,3116.219971,6.09,51.060001,372.720001,59.790001
2020-09-14,115.360001,3102.969971,6.91,50.709999,419.619995,60.32
2020-09-15,115.540001,3156.129883,7.09,51.049999,449.76001,60.599998
2020-09-16,112.129997,3078.100098,8.68,50.790001,441.76001,60.369999
2020-09-17,110.339996,3008.72998,9.2,50.549999,423.429993,60.59
2020-09-18,106.839996,2954.909912,9.47,50.450001,442.149994,60.349998
2020-09-21,110.080002,2960.469971,8.75,49.09,449.390015,59.610001
2020-09-22,111.809998,3128.98999,10.56,49.66,424.230011,59.82
2020-09-23,107.120003,2999.860107,10.04,48.209999,380.359985,58.91
2020-09-24,108.220001,3019.790039,9.14,48.700001,387.790009,59.189999
2020-09-25,112.279999,3095.129883,10.02,48.720001,407.339996,59.389999
2020-09-28,114.959999,3174.050049,10.09,49.279999,421.200012,59.360001
2020-09-29,114.089996,3144.879883,10.35,48.919998,419.070007,59.240002
2020-09-30,115.809998,3148.72998,10.2,49.369999,429.01001,59.490002
2020-10-01,116.790001,3221.26001,9.77,49.18,448.160004,59.450001
2020-10-02,113.019997,3125,9.39,49.360001,415.089996,59.240002
2020-10-05,116.5,3199.199951,9.46,49.380001,425.679993,59.66
2020-10-06,113.160004,3099.959961,9.13,48.939999,413.980011,59.459999
2020-10-07,115.080002,3195.689941,9.36,49.560001,425.299988,59.610001
2020-10-08,114.970001,3190.550049,13.49,50.459999,425.920013,59.189999
2020-10-09,116.970001,3286.649902,12.02,50.810001,434,59.330002
2020-10-12,124.400002,3442.929932,11.8,51.09,442.299988,59.549999
2020-10-13,121.099998,3443.629883,11.88,50.220001,446.649994,59.360001
2020-10-14,121.190002,3363.709961,12.25,50.119999,461.299988,58.43
2020-10-15,120.709999,3338.649902,13.83,49.990002,448.880005,58.16
2020-10-16,119.019997,3272.709961,13.31,50.029999,439.670013,58.049999
2020-10-19,115.980003,3207.209961,13.91,49.619999,430.829987,57.299999
2020-10-20,117.510002,3217.01001,13.86,50.25,421.940002,57.25
2020-10-21,116.870003,3184.939941,14.1,49.990002,422.640015,56.75
2020-10-22,115.75,3176.399902,14.91,50.68,425.790009,57.330002
2020-10-23,115.040001,3204.399902,15,50.52,420.630005,57.959999
2020-10-26,115.050003,3207.040039,13.45,49.799999,420.279999,57.810001
2020-10-27,116.599998,3286.330078,12.69,49.900002,424.679993,57.380001
2020-10-28,111.199997,3162.780029,11.82,47.959999,406.019989,56.310001
2020-10-29,115.32,3211.01001,11.73,48.02,410.829987,56.759998
2020-10-30,108.860001,3036.149902,10.47,48.060001,388.040009,56.990002
2020-11-02,108.769997,3004.47998,10.75,48.619999,400.51001,57.700001
2020-11-03,110.440002,3048.409912,11.57,49.349998,423.899994,57.75
2020-11-04,114.949997,3241.159912,10.91,49.169998,420.980011,57.220001
2020-11-05,119.029999,3322,11.45,49.439999,438.089996,58.150002
2020-11-06,118.690002,3311.370117,11.86,49.450001,429.950012,58.529999
2020-11-09,116.32,3143.73999,11.49,52.57,421.26001,59.84
2020-11-10,115.970001,3035.02002,11.1,53.98,410.359985,61.099998
2020-11-11,119.489998,3137.389893,11.75,53.580002,417.130005,61
2020-11-12,119.209999,3110.280029,11.13,53.009998,411.76001,60.790001
2020-11-13,119.260002,3128.810059,11.01,53.450001,408.5,61.060001
2020-11-16,120.300003,3131.060059,12.06,53.849998,408.089996,60.889999
2020-11-17,119.389999,3135.659912,11.63,53.68,441.609985,60.75
2020-11-18,118.029999,3105.459961,11.57,52.610001,486.640015,60.32
2020-11-19,118.639999,3117.02002,12.46,53.130001,499.269989,60.209999
2020-11-20,117.339996,3099.399902,12.71,52.669998,489.609985,60.040001
2020-11-23,113.849998,3098.389893,13.9,52.68,521.849976,60.23
2020-11-24,115.169998,3118.060059,13.67,53.220001,555.380005,60.639999
2020-11-25,116.029999,3185.070068,14.75,52.93,574,60.41
2020-11-27,116.589996,3195.340088,16.08,52.700001,585.76001,60.580002
2020-11-30,119.050003,3168.040039,16.559999,51.599998,567.599976,60.41
2020-12-01,122.720001,3220.080078,15.8,52.040001,584.76001,60.580002
2020-12-02,123.080002,3203.530029,16.58,52.110001,568.820007,61.360001
2020-12-03,122.940002,3186.72998,16.120001,52.779999,593.380005,61.740002
2020-12-04,122.25,3162.580078,16.9,53.849998,599.039978,61.549999
2020-12-07,123.75,3158,16.35,52.990002,641.76001,61.349998
2020-12-08,124.379997,3177.290039,16.940001,53.18,649.880005,61.450001
2020-12-09,121.779999,3104.199951,13.66,53.330002,604.47998,61.459999
2020-12-10,123.239998,3101.48999,14.12,53.049999,627.070007,60.509998
2020-12-11,122.410004,3116.419922,13.31,53.349998,609.98999,60.349998
2020-12-14,121.779999,3156.969971,12.72,53.27,639.830017,59.98
2020-12-15,127.879997,3165.120117,13.85,53.84,633.25,60.549999
2020-12-16,127.809998,3240.959961,13.85,53.060001,622.77002,59.91
2020-12-17,128.699997,3236.080078,14.83,53.27,655.900024,60.009998
2020-12-18,126.660004,3201.649902,15.63,53.740002,695,60.459999
2020-12-21,128.229996,3206.179932,15.53,52.810001,649.859985,59.490002
2020-12-22,131.880005,3206.52002,19.459999,52.759998,640.340027,58.990002
2020-12-23,130.960007,3185.27002,20.57,53.080002,645.97998,58.959999
2020-12-24,131.970001,3172.689941,20.15,53.439999,661.77002,58.84
2020-12-28,136.690002,3283.959961,20.99,54.16,663.690002,58.98
2020-12-29,134.869995,3322,19.379999,54.130001,665.98999,58.810001
2020-12-30,133.720001,3285.850098,19.26,54.439999,694.780029,58.139999
2020-12-31,132.690002,3256.929932,18.84,54.84,705.669983,58.75
2021-01-04,129.410004,3186.629883,17.25,52.759998,729.77002,58.849998
2021-01-05,131.009995,3218.51001,17.370001,52.18,735.109985,58.580002
2021-01-06,126.599998,3138.379883,18.360001,50.52,755.97998,59.290001
2021-01-07,130.919998,3162.159912,18.08,49.959999,816.039978,58.529999
2021-01-08,132.050003,3182.699951,17.690001,51.080002,880.02002,57.799999
2021-01-11,128.979996,3114.209961,19.940001,50.200001,811.190002,57.459999
2021-01-12,128.800003,3120.830078,19.950001,50.110001,849.440002,57.259998
2021-01-13,130.889999,3165.889893,31.4,50.16,854.409973,57.060001
2021-01-14,128.910004,3127.469971,39.91,49.23,845,57.040001
2021-01-15,127.139999,3104.25,35.5,48.700001,826.159973,57.380001
2021-01-19,127.830002,3120.76001,39.360001,48.509998,844.549988,57.049999
2021-01-20,132.029999,3263.379883,39.119999,48.68,850.450012,57.259998
2021-01-21,136.869995,3306.98999,43.029999,48.950001,844.98999,57.27
2021-01-22,139.070007,3292.22998,65.010002,48.490002,846.640015,57.470001
2021-01-25,142.919998,3294,76.790001,48.779999,880.799988,58.419998
